binary;function;function count;common linux file;networking;
/usr/bin/flash_eraseall (-rwxr-xr-x root root);fprintf;11;false;no;
/usr/bin/iwpriv (-rwxr-xr-x root root);fprintf;28;true;no;
/usr/sbin/md5sum (-rwxr-xr-x root root);printf;1;true;no;
/usr/sbin/hnap_push_service (-rwxr-xr-x root root);fprintf;94;false;no;
/usr/sbin/upnp (-rwxr-xr-x root root);printf;10;false;yes;
/usr/sbin/dlinkpsk (-rwxr-xr-x root root);sprintf;3;false;no;
/usr/sbin/netmgr (-rwxr-xr-x root root);fprintf;3;false;no;
/usr/sbin/getpreviewimg (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/twinkling (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/userconfig (-rwxr-xr-x root root);fprintf;11;false;no;
/usr/bin/flash_eraseall (-rwxr-xr-x root root);printf;4;false;no;
/usr/sbin/fw_upgrade (-rwxr-xr-x root root);fprintf;21;false;no;
/usr/sbin/wanip_detect (-rwxr-xr-x root root);fprintf;3;false;no;
/usr/sbin/llmnr (-rwxr-xr-x root root);fprintf;39;false;yes;
/usr/bin/iwpriv (-rwxr-xr-x root root);printf;18;true;no;
/usr/sbin/ntpclient (-rwxr-xr-x root root);fprintf;7;false;yes;
/usr/sbin/hnap_push_service (-rwxr-xr-x root root);printf;3;false;no;
/usr/sbin/sysmgr (-rwxr-xr-x root root);fprintf;10;false;no;
/usr/sbin/upnp (-rwxr-xr-x root root);sprintf;47;false;yes;
/usr/sbin/msger (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/netmgr (-rwxr-xr-x root root);printf;13;false;no;
/usr/sbin/getpreviewimg (-rwxr-xr-x root root);printf;2;false;no;
/usr/sbin/ddp (-rwxr-xr-x root root);fprintf;181;false;yes;
/usr/sbin/userconfig (-rwxr-xr-x root root);printf;17;false;no;
/usr/sbin/wanip_detect (-rwxr-xr-x root root);printf;7;false;no;
/usr/sbin/rtsp/rtspd (-rwxr-xr-x root root);fprintf;2;false;yes;
/usr/sbin/fw_upgrade (-rwxr-xr-x root root);sprintf;1;false;no;
/usr/sbin/llmnr (-rwxr-xr-x root root);printf;5;false;yes;
/usr/bin/iwpriv (-rwxr-xr-x root root);sprintf;24;true;no;
/usr/sbin/ipfind (-rwxr-xr-x root root);fprintf;2;false;yes;
/usr/sbin/makeBonjourFile (-rwxr-xr-x root root);fprintf;22;false;no;
/usr/sbin/ntpclient (-rwxr-xr-x root root);printf;37;false;yes;
/usr/sbin/hnap_push_service (-rwxr-xr-x root root);sprintf;28;false;no;
/usr/sbin/sysmgr (-rwxr-xr-x root root);sprintf;1;false;no;
/usr/sbin/upnp (-rwxr-xr-x root root);strcpy;2;false;yes;
/usr/sbin/netmgr (-rwxr-xr-x root root);sprintf;2;false;no;
/usr/sbin/msger (-rwxr-xr-x root root);printf;3;false;no;
/usr/sbin/mDNSClientPosix (-rwxr-xr-x root root);fprintf;19;false;yes;
/usr/sbin/getpreviewimg (-rwxr-xr-x root root);sprintf;4;false;no;
/usr/sbin/ddp (-rwxr-xr-x root root);sprintf;31;false;yes;
/usr/sbin/userconfig (-rwxr-xr-x root root);sprintf;1;false;no;
/usr/sbin/wanip_detect (-rwxr-xr-x root root);system;3;false;no;
/usr/sbin/fw_upgrade (-rwxr-xr-x root root);system;4;false;no;
/usr/sbin/llmnr (-rwxr-xr-x root root);sprintf;2;false;yes;
/usr/sbin/rtsp/rtspd (-rwxr-xr-x root root);printf;31;false;yes;
/usr/bin/iwpriv (-rwxr-xr-x root root);strcpy;18;true;no;
/usr/sbin/ipfind (-rwxr-xr-x root root);sprintf;4;false;yes;
/usr/sbin/hnap_push_service (-rwxr-xr-x root root);strcat;1;false;no;
/usr/sbin/ntpclient (-rwxr-xr-x root root);system;2;false;yes;
/usr/sbin/makeBonjourFile (-rwxr-xr-x root root);system;2;false;no;
/usr/sbin/msger (-rwxr-xr-x root root);strcpy;1;false;no;
/usr/sbin/netmgr (-rwxr-xr-x root root);strcpy;1;false;no;
/usr/sbin/rscam_uvc (-rwxr-xr-x root root);fprintf;109;false;no;
/usr/sbin/mDNSClientPosix (-rwxr-xr-x root root);sprintf;1;false;yes;
/usr/sbin/getpreviewimg (-rwxr-xr-x root root);strcat;1;false;no;
/usr/sbin/userconfig (-rwxr-xr-x root root);strcpy;1;false;no;
/usr/sbin/ddp (-rwxr-xr-x root root);strcpy;29;false;yes;
/usr/sbin/eventd (-rwxr-xr-x root root);fprintf;62;false;no;
/usr/sbin/rtsp/rtspd (-rwxr-xr-x root root);sprintf;26;false;yes;
/usr/sbin/ipfind (-rwxr-xr-x root root);system;1;false;yes;
/usr/sbin/hnap_push_service (-rwxr-xr-x root root);strcpy;54;false;no;
/usr/sbin/hwmon (-rwxr-xr-x root root);printf;43;false;no;
/usr/sbin/pppd (-rwxr-xr-x root root);fprintf;9;true;no;
/usr/sbin/netmgr (-rwxr-xr-x root root);system;12;false;no;
/usr/sbin/mdb (-rwxr-xr-x root root);fprintf;33;false;no;
/usr/sbin/rscam_uvc (-rwxr-xr-x root root);printf;2;false;no;
/usr/sbin/userconfig (-rwxr-xr-x root root);system;2;false;no;
/usr/sbin/getpreviewimg (-rwxr-xr-x root root);strcpy;1;false;no;
/usr/sbin/schboot (-rwxr-xr-x root root);printf;1;false;no;
/usr/sbin/ddp (-rwxr-xr-x root root);system;25;false;yes;
/usr/sbin/mDNSClientPosix (-rwxr-xr-x root root);strcpy;1;false;yes;
/usr/sbin/eventd (-rwxr-xr-x root root);printf;1;false;no;
/usr/sbin/upnp_igd (-rwxr-xr-x root root);printf;22;false;yes;
/usr/sbin/rtsp/rtspd (-rwxr-xr-x root root);strcat;3;false;yes;
/usr/sbin/mDNSResponderPosix (-rwxr-xr-x root root);fprintf;24;false;yes;
/usr/sbin/hnap_push_service (-rwxr-xr-x root root);system;26;false;no;
/usr/sbin/hwmon (-rwxr-xr-x root root);sprintf;1;false;no;
/usr/sbin/swdog (-rwxr-xr-x root root);printf;2;false;no;
/usr/sbin/pppd (-rwxr-xr-x root root);printf;3;true;no;
/usr/sbin/httpd-manager (-rwxr-xr-x root root);printf;1;false;no;
/usr/sbin/mdb (-rwxr-xr-x root root);sprintf;23;false;no;
/usr/sbin/getpreviewimg (-rwxr-xr-x root root);system;1;false;no;
/usr/sbin/ddns (-rwxr-xr-x root root);sprintf;3;false;no;
/usr/sbin/schboot (-rwxr-xr-x root root);system;1;false;no;
