binary;function;function count;common linux file;networking;
/usr/bin/flash_eraseall (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/md5sum (-rwxr-xr-x root root);fprintf;1;true;no;
/usr/sbin/dlinkpsk (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/twinkling (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/fw_upgrade (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/wanip_detect (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/bin/iwpriv (-rwxr-xr-x root root);fprintf;1;true;no;
/usr/sbin/sysmgr (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/msger (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/upnp (-rwxr-xr-x root root);fprintf;1;false;yes;
/usr/sbin/userconfig (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/llmnr (-rwxr-xr-x root root);fprintf;1;false;yes;
/usr/bin/flash_eraseall (-rwxr-xr-x root root);mmap;1;false;no;
/usr/sbin/ntpclient (-rwxr-xr-x root root);fprintf;1;false;yes;
/usr/sbin/md5sum (-rwxr-xr-x root root);mmap;1;true;no;
/usr/sbin/dlinkpsk (-rwxr-xr-x root root);mmap;1;false;no;
/usr/sbin/iperf (-rwxr-xr-x root root);fprintf;1;true;no;
/usr/sbin/twinkling (-rwxr-xr-x root root);mmap;1;false;no;
/usr/sbin/getpreviewimg (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/wanip_detect (-rwxr-xr-x root root);mmap;1;false;no;
/usr/bin/iwpriv (-rwxr-xr-x root root);mmap;1;true;no;
/usr/sbin/netmgr (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/fw_upgrade (-rwxr-xr-x root root);mmap;1;false;no;
/usr/sbin/hnap_push_service (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/sbin/sysmgr (-rwxr-xr-x root root);mmap;1;false;no;
/usr/sbin/msger (-rwxr-xr-x root root);mmap;1;false;no;
/usr/sbin/userconfig (-rwxr-xr-x root root);mmap;1;false;no;
/usr/sbin/md5sum (-rwxr-xr-x root root);popen;1;true;no;
/usr/bin/flash_eraseall (-rwxr-xr-x root root);popen;1;false;no;
/usr/sbin/dlinkpsk (-rwxr-xr-x root root);popen;1;false;no;
/usr/sbin/twinkling (-rwxr-xr-x root root);popen;1;false;no;
/usr/sbin/llmnr (-rwxr-xr-x root root);mmap;1;false;yes;
