Script path;Shell issues detected;common linux file;shellcheck/semgrep;
/etc/rc.d/init.d/HNAPPushService-0 (-rwxr-xr-x root root);2;no;NA;
/etc/rc.d/init.d/RTS5826_FW_check.sh (-rwxr-xr-x root root);2;no;NA;
/etc/rc.d/init.d/camsvr-0 (-rwxr-xr-x root root);3;no;NA;
/etc/rc.d/init.d/ddns-0 (-rwxr-xr-x root root);3;no;NA;
/etc/rc.d/init.d/bonjour-0 (-rwxr-xr-x root root);13;no;NA;
/etc/rc.d/init.d/ddp-0 (-rwxr-xr-x root root);2;no;NA;
/etc/rc.d/init.d/eventd-0 (-rwxr-xr-x root root);3;no;NA;
/etc/rc.d/init.d/httpd-manager-0 (-rwxr-xr-x root root);2;no;NA;
/etc/rc.d/init.d/httpd-0 (-rwxr-xr-x root root);6;no;NA;
/etc/rc.d/init.d/ipfind-0 (-rwxr-xr-x root root);3;no;NA;
/etc/rc.d/init.d/hwmon-0 (-rwxr-xr-x root root);2;no;NA;
/etc/rc.d/init.d/https-0 (-rwxr-xr-x root root);5;no;NA;
/etc/rc.d/init.d/ipv4 (-rwxr-xr-x root root);32;no;NA;
/etc/rc.d/init.d/llmnr-0 (-rwxr-xr-x root root);4;no;NA;
/etc/rc.d/init.d/mydlink_check.sh (-rwxr-xr-x root root);7;no;NA;
/etc/rc.d/init.d/ntpc.sh (-rwxr-xr-x root root);1;no;NA;
/etc/rc.d/init.d/network (-rwxr-xr-x root root);5;yes;NA;
/etc/rc.d/init.d/ntpcdo.sh (-rwxr-xr-x root root);8;no;NA;
/etc/rc.d/init.d/pppoe.sh (-rwxr-xr-x root root);5;no;NA;
/etc/rc.d/init.d/ptctl.sh (-rwxr-xr-x root root);10;no;NA;
/etc/rc.d/init.d/restore_other_config.sh (-rwxr-xr-x root root);6;no;NA;
/etc/rc.d/init.d/rtspd-0 (-rwxr-xr-x root root);1;no;NA;
/etc/rc.d/init.d/schboot-0 (-rwxr-xr-x root root);3;no;NA;
/etc/rc.d/init.d/service.sh (-rwxr-xr-x root root);1;no;NA;
/etc/rc.d/init.d/smtps-0 (-rwxr-xr-x root root);6;no;NA;
/etc/rc.d/init.d/smtps-snapshot-0 (-rwxr-xr-x root root);6;no;NA;
/etc/rc.d/init.d/sysmgr-0 (-rwxr-xr-x root root);2;no;NA;
/etc/rc.d/init.d/udhcpd.sh (-rwxr-xr-x root root);7;no;NA;
/etc/rc.d/init.d/upnp-0 (-rwxr-xr-x root root);3;no;NA;
/etc/rc.d/init.d/udhcpc.sh (-rwxr-xr-x root root);13;no;NA;
/etc/rc.d/init.d/upnp_igd-http.sh (-rwxr-xr-x root root);4;no;NA;
/etc/rc.d/init.d/upnp_igd-https.sh (-rwxr-xr-x root root);5;no;NA;
/etc/rc.d/init.d/upnp_igd-rtsp.sh (-rwxr-xr-x root root);4;no;NA;
/etc/rc.d/init.d/upnp_igd.sh (-rwxr-xr-x root root);22;no;NA;
/etc/rc.d/init.d/userconfig (-rwxr-xr-x root root);1;no;NA;
/etc/rc.d/init.d/wanip_detect-0 (-rwxr-xr-x root root);2;no;NA;
/etc/rc.d/init.d/wscd-0 (-rwxr-xr-x root root);2;no;NA;
/etc/rc.d/rcS (-rwxr-xr-x root root);10;yes;NA;
/sbin/pppoe-connect (-rwxr-xr-x root root);3;yes;NA;
/sbin/pppoe-status (-rwxr-xr-x root root);4;yes;NA;
/sbin/pppoe-start (-rwxr-xr-x root root);9;yes;NA;
/sbin/pppoe-setup (-rwxr-xr-x root root);7;yes;NA;
/sbin/pppoe-stop (-rwxr-xr-x root root);4;yes;NA;
/usr/share/udhcpc/default.script (-rwxr-xr-x root root);4;no;NA;
