Certificate file;Certificate expire on;Certificate expired;
/logs/firmware/squashfs-root/etc/ssl/certs/ca-bundle.crt;1534204740;yes;
/logs/firmware/squashfs-root/etc/ssl/certs/ca-bundle.crt;1609459199;yes;
/logs/firmware/squashfs-root/etc/ssl/certs/ca-bundle.crt;1609459199;yes;
/logs/firmware/squashfs-root/etc/ssl/certs/ca-bundle.crt;1534956111;yes;
/logs/firmware/squashfs-root/etc/ssl/certs/ca-bundle.crt;1848787199;no;
/logs/firmware/squashfs-root/etc/ssl/certs/ca-bundle.crt;1848787199;no;
/logs/firmware/squashfs-root/etc/ssl/certs/ca-bundle.crt;1832673600;no;
/logs/firmware/squashfs-root/etc/ssl/certs/ca-bundle.crt;1639555200;yes;
/logs/firmware/squashfs-root/etc/ssl/certs/ca-bundle.crt;1561501428;yes;
/logs/firmware/squashfs-root/etc/ssl/certs/ca-bundle.crt;1561508394;yes;
/logs/firmware/squashfs-root/etc/ssl/certs/ca-bundle.crt;1561508553;yes;
/logs/firmware/squashfs-root/etc/ssl/certs/ca-bundle.crt;2099865599;no;
/logs/firmware/squashfs-root/etc/ssl/certs/ca-bundle.crt;2099865599;no;
/logs/firmware/squashfs-root/etc/ssl/certs/ca-bundle.crt;1558802380;yes;
/logs/firmware/squashfs-root/etc/ssl/certs/ca-bundle.crt;1879596912;no;
/logs/firmware/squashfs-root/etc/ssl/certs/ca-bundle.crt;1747094340;expires within 2 years;
/logs/firmware/squashfs-root/etc/ssl/certs/ca-bundle.crt;1592712000;yes;
/logs/firmware/squashfs-root/etc/ssl/certs/ca-bundle.crt;1592712000;yes;
/logs/firmware/squashfs-root/etc/ssl/certs/ca-bundle.crt;1590835111;yes;
/logs/firmware/squashfs-root/etc/ssl/certs/ca-bundle.crt;1590835718;yes;
/logs/firmware/squashfs-root/etc/ssl/certs/ca-bundle.crt;1590835310;yes;
/logs/firmware/squashfs-root/etc/ssl/certs/ca-bundle.crt;1590835490;yes;
/logs/firmware/squashfs-root/etc/ssl/certs/ca-bundle.crt;1795812822;no;
