Type,MimeType,Supplier,Author,Publisher,Group,Name,Version,Scope,LicenseExpressions,LicenseNames,Copyright,Cpe,Purl,Modified,SwidTagId,SwidName,SwidVersion,SwidTagVersion,SwidPatch,SwidTextContentType,SwidTextEncoding,SwidTextContent,SwidUrl,MD5,SHA-1,SHA-256,SHA-512,BLAKE2b-256,BLAKE2b-384,BLAKE2b-512,SHA-384,SHA3-256,SHA3-384,SHA3-512,BLAKE3,Description,
,,,,,,busybox,1.13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,dnsmasq,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,iptables,1.4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,linux_kernel,2.6.30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,mini_httpd,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,miniupnpd,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,ntfs-3g,2012.1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,openssl,0.9.8b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,openssl,0.9.8i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,wireless_tools,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
