binary/file;version_rule;version_detected;csv_rule;license;static/emulation;
/logs/firmware/squashfs-root/bin/busybox;busybox;BusyBox v1.13.4 ;busybox:1.13.4;gplv2;static;
/logs/firmware/squashfs-root/bin/busybox;busybox;BusyBox v1.13.4 (2014-11-11 09:56:54 CST);busybox:1.13.4;gplv2;static;
/logs/firmware/squashfs-root/sbin/dnsmasq;dnsmasq;dnsmasq-2.41;dnsmasq:2.41;gplv3;static;
/logs/firmware/squashfs-root/bin/l2tpd;l2tpd;l2tpd version 0.69 started on ;roaring_penguin:l2tpd:0.69;gplv2;static;
/logs/firmware/squashfs-root/sbin/mailsend;mailsend;mailsend v1.15b5;mailsend:1.15b5;unknown;static;
/logs/firmware/squashfs-root/sbin/proxy;mini_httpd;mini_httpd/1.19;acme:mini_httpd:1.19;unknown;static;
/logs/firmware/squashfs-root/sbin/miniupnpd;miniupnpd;SERVER: UPnP/1.1 MiniUPnPd/1.7;miniupnpd:1.7;unknown;static;
/logs/firmware/squashfs-root/lib/libcrypto.so.0.9.8;openssl;OpenSSL 0.9.8i ;openssl:openssl:0.9.8i;bsd;static;
/logs/firmware/squashfs-root/lib/libssl.so.0.9.8;openssl;OpenSSL 0.9.8i ;openssl:openssl:0.9.8i;bsd;static;
/logs/firmware/squashfs-root/bin/wscd;openssl;OpenSSL 0.9.8b-;openssl:openssl:0.9.8b;bsd;static;
/logs/firmware/squashfs-root/bin/pppoe-discovery;pppoe-discovery;Version 3.3;pppoe-discovery:3.3;unknown;static;
/logs/firmware/squashfs-root/bin/pptp;pptp;pptp version 1.7.2;pptp:1.7.2;unknown;static;
/logs/firmware/squashfs-root/bin/busybox;sed;GNU sed version 4.0;gnu:sed:4.0;gplv3;static;
