binary/file;version_rule;version_detected;csv_rule;license;static/emulation;
/bin/busybox;busybox;BusyBox v1.13.4 ;busybox:1.13.4;gplv2;emulation;
/bin/busybox;busybox;BusyBox v1.13.4 (2014-11-11 09:56:54 CST);busybox:1.13.4;gplv2;emulation;
/bin/busybox;busybox;BusyBox v1.13.4 (2014-11-11 09:56:54 CST) multi-call binary;busybox:1.13.4;gplv2;emulation;
/sbin/dnsmasq;dnsmasq;Dnsmasq version 2.41;dnsmasq:2.41;gplv3;emulation;
/bin/ip6tables;ip6tables;ip6tables v1.4.4;iptables:1.4.4;unknown;emulation;
/bin/tc;iproute2;iproute2-ss110107;iproute2:110107;gplv2;emulation;
/bin/iptables;iptables;iptables v1.4.4;iptables:1.4.4;gpl;emulation;
/sbin/bulkListen;iptables;iptables v1.4.4;iptables:1.4.4;gpl;emulation;
/bin/iptables;iptables;iptables v1.4.4;iptables:1.4.4;gpl;emulation;
/sbin/bulkListen;iptables;iptables v1.4.4;iptables:1.4.4;gpl;emulation;
/bin/iptables;iptables;iptables v1.4.4;iptables:1.4.4;gpl;emulation;
/bin/iwpriv;iwpriv;iwpriv    Version 25;wireless_tools:25;unknown;emulation;
/sbin/mailsend;mailsend;mailsend v1.15b5;mailsend:1.15b5;unknown;emulation;
/sbin/mailsend;mailsend;mailsend Version: @(#) mailsend v1.15b5;mailsend:1.15b5;unknown;emulation;
/bin/ntfs-3g;ntfs-3g;ntfs-3g 2012.1.15 integrated FUSE 27;ntfs-3g:2012.1.15;gplv2;emulation;
/sbin/mailsend;openssl;OpenSSL 0.9.8i ;openssl:openssl:0.9.8i;bsd;emulation;
/bin/pppoe-discovery;pppoe-discovery;Version 3.3;pppoe-discovery:3.3;unknown;emulation/strict;
/bin/pppoe-relay;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;gplv2;emulation;
/bin/pppoe-relay;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;gplv2;emulation;
/bin/pppoe;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;gplv2;emulation;
/bin/pppoe;rp-pppoe;Roaring Penguin PPPoE Version 3.10;roaring_penguin:pppoe:3.10;gplv2;emulation;
/bin/pppoe-server;rp-pppoe;PPPoE-Server Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;gplv2;emulation;
/bin/pppoe;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;gplv2;emulation;
/bin/pppoe-relay;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;unknown;emulation;
/bin/pptp;pptp;pptp version 1.7.2;pptp:1.7.2;unknown;emulation;
/bin/pppoe;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;unknown;emulation;
/bin/pppoe-relay;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;gplv2;emulation;
/bin/pppoe-relay;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;gplv2;emulation;
/bin/pppoe;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;gplv2;emulation;
/bin/pppoe;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;gplv2;emulation;
/bin/pppoe-relay;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;unknown;emulation;
/bin/pppoe;rp-pppoe;PPPoE Version 3.10, Copyright (C) 2001-2006 Roaring Penguin Software Inc.;roaring_penguin:pppoe:3.10;unknown;emulation;
/sbin/radvd;radvd;Version: 1.8.3;radvd:1.8.3;radvd-lic;emulation/strict;
/sbin/rdnssd;rdnssd;rdnssd: IPv6 Recursive DNS Server discovery Daemon 1.0.1 ;rdnssd:1.0.1;unknown;emulation;
/sbin/udhcpc;udhcpc;udhcpcd, version 0.9.9;udhcpc:0.9.9;unknown;emulation;
/bin/ult;xlink-ult;XLINK v15.0 ;xlink:15.0;unknown;emulation;
/bin/ult;xlink;XLINK v15.0 ;xlink:15.0;unknown;emulation;
