binary;function;function count;common linux file;networking;
/bin/rtk_cmd (-rwxr-xr-x root root);fprintf;1;false;yes;
/bin/pppoe-discovery (-rwxr-xr-x root root);fprintf;12;true;yes;
/bin/usbmount2 (-rwxr-xr-x root root);fprintf;2;false;no;
/bin/6tunnel (-rwxr-xr-x root root);fprintf;3;false;yes;
/bin/ult (-rwxr-xr-x root root);fprintf;1;false;yes;
/bin/iapp (-rwxr-xr-x root root);fprintf;1;false;yes;
/bin/wscd (-rwxr-xr-x root root);fprintf;1;false;yes;
/bin/usbmount2 (-rwxr-xr-x root root);popen;2;false;no;
/bin/auth (-rwxr-xr-x root root);fprintf;1;true;yes;
/bin/ntfs-3g (-rwxr-xr-x root root);fprintf;83;true;no;
/bin/busybox (-rwxr-xr-x root root);fprintf;32;true;yes;
/bin/nmbd (-rwxr-xr-x root root);fprintf;19;true;yes;
/bin/epoll (-rwxr-xr-x root root);printf;15;false;yes;
/bin/rtk_cmd (-rwxr-xr-x root root);printf;13;false;yes;
/bin/pppoe-discovery (-rwxr-xr-x root root);printf;35;true;yes;
/bin/usbmount2 (-rwxr-xr-x root root);printf;40;false;no;
/bin/6tunnel (-rwxr-xr-x root root);printf;8;false;yes;
/bin/flash (-rwxr-xr-x root root);printf;264;false;yes;
/bin/wakeOnLanProxy (-rwxr-xr-x root root);printf;3;false;yes;
/bin/ult (-rwxr-xr-x root root);printf;15;false;yes;
/bin/UDPserver (-rwxr-xr-x root root);printf;10;false;yes;
/bin/rtk_cmd (-rwxr-xr-x root root);sprintf;1;false;yes;
/bin/pppoe-discovery (-rwxr-xr-x root root);sprintf;10;true;yes;
/bin/iapp (-rwxr-xr-x root root);printf;35;false;yes;
/bin/wakeOnLanProxy (-rwxr-xr-x root root);sprintf;2;false;yes;
/bin/ult (-rwxr-xr-x root root);sprintf;1;false;yes;
/bin/UDPserver (-rwxr-xr-x root root);sprintf;6;false;yes;
/bin/flash (-rwxr-xr-x root root);sprintf;189;false;yes;
/bin/l2tpd (-rwxr-xr-x root root);printf;65;false;yes;
/bin/rtk_cmd (-rwxr-xr-x root root);strcat;2;false;yes;
/bin/iapp (-rwxr-xr-x root root);sprintf;6;false;yes;
/bin/UDPserver (-rwxr-xr-x root root);strcat;5;false;yes;
/bin/pppoe-discovery (-rwxr-xr-x root root);strcpy;2;true;yes;
/bin/nmbd (-rwxr-xr-x root root);mmap;1;true;yes;
/bin/flash (-rwxr-xr-x root root);strcat;7;false;yes;
/bin/rtk_cmd (-rwxr-xr-x root root);strcpy;1;false;yes;
/bin/auth (-rwxr-xr-x root root);printf;56;true;yes;
/bin/l2tpd (-rwxr-xr-x root root);sprintf;8;false;yes;
/bin/usbmount2 (-rwxr-xr-x root root);system;2;false;no;
/bin/wakeOnLanProxy (-rwxr-xr-x root root);strcpy;3;false;yes;
/bin/UDPserver (-rwxr-xr-x root root);strcpy;19;false;yes;
/bin/pppoe-discovery (-rwxr-xr-x root root);system;3;true;yes;
/bin/iapp (-rwxr-xr-x root root);strcpy;3;false;yes;
/bin/flash (-rwxr-xr-x root root);strcpy;117;false;yes;
/bin/ult (-rwxr-xr-x root root);system;1;false;yes;
/bin/l2tpd (-rwxr-xr-x root root);strcat;2;false;yes;
