binary;function;function count;common linux file;networking;
/bin/rtk_cmd (-rwxr-xr-x root root);fprintf;1;false;yes;
/bin/epoll (-rwxr-xr-x root root);fprintf;1;false;yes;
/bin/wakeOnLanProxy (-rwxr-xr-x root root);fprintf;1;false;yes;
/bin/acltd (-rwxr-xr-x root root);fprintf;1;false;yes;
/bin/ult (-rwxr-xr-x root root);fprintf;1;false;yes;
/bin/usbmount2 (-rwxr-xr-x root root);fprintf;1;false;no;
/bin/pppoe-discovery (-rwxr-xr-x root root);fprintf;1;true;yes;
/bin/UDPserver (-rwxr-xr-x root root);fprintf;1;false;yes;
/bin/6tunnel (-rwxr-xr-x root root);fprintf;1;false;yes;
/bin/epoll (-rwxr-xr-x root root);mmap;1;false;yes;
/bin/rtk_cmd (-rwxr-xr-x root root);mmap;1;false;yes;
/bin/wakeOnLanProxy (-rwxr-xr-x root root);mmap;1;false;yes;
/bin/acltd (-rwxr-xr-x root root);mmap;1;false;yes;
/bin/ult (-rwxr-xr-x root root);mmap;1;false;yes;
/bin/flash (-rwxr-xr-x root root);fprintf;1;false;yes;
/bin/UDPserver (-rwxr-xr-x root root);mmap;1;false;yes;
/bin/auth (-rwxr-xr-x root root);fprintf;1;true;yes;
/bin/6tunnel (-rwxr-xr-x root root);mmap;1;false;yes;
/bin/epoll (-rwxr-xr-x root root);popen;1;false;yes;
/bin/usbmount2 (-rwxr-xr-x root root);mmap;1;false;no;
/bin/pppoe-discovery (-rwxr-xr-x root root);mmap;1;true;yes;
/bin/l2tpd (-rwxr-xr-x root root);fprintf;1;false;yes;
/bin/wakeOnLanProxy (-rwxr-xr-x root root);popen;1;false;yes;
/bin/rtk_cmd (-rwxr-xr-x root root);popen;1;false;yes;
/bin/acltd (-rwxr-xr-x root root);popen;1;false;yes;
/bin/ult (-rwxr-xr-x root root);popen;1;false;yes;
/bin/UDPserver (-rwxr-xr-x root root);popen;1;false;yes;
/bin/epoll (-rwxr-xr-x root root);printf;1;false;yes;
/bin/wakeOnLanProxy (-rwxr-xr-x root root);printf;1;false;yes;
/bin/6tunnel (-rwxr-xr-x root root);popen;1;false;yes;
/bin/usbmount2 (-rwxr-xr-x root root);popen;1;false;no;
/bin/acltd (-rwxr-xr-x root root);printf;1;false;yes;
/bin/pppoe-discovery (-rwxr-xr-x root root);popen;1;true;yes;
/bin/rtk_cmd (-rwxr-xr-x root root);printf;1;false;yes;
/bin/ult (-rwxr-xr-x root root);printf;1;false;yes;
/bin/epoll (-rwxr-xr-x root root);sprintf;1;false;yes;
