Script path;Shell issues detected;common linux file;shellcheck/semgrep;
/bin/dw (-rwxr-xr-x root root);3;yes;NA;
/bin/getmib (-rwxr-xr-x root root);1;no;NA;
/bin/ew (-rwxr-xr-x root root);2;no;NA;
/bin/ib (-rwxr-xr-x root root);1;no;NA;
/bin/getmib1 (-rwxr-xr-x root root);1;no;NA;
/bin/id1 (-rwxr-xr-x root root);1;no;NA;
/bin/ib1 (-rwxr-xr-x root root);1;no;NA;
/bin/idd (-rwxr-xr-x root root);1;no;NA;
/bin/idd1 (-rwxr-xr-x root root);1;no;NA;
/bin/irf1 (-rwxr-xr-x root root);2;no;NA;
/bin/irf (-rwxr-xr-x root root);2;no;NA;
/bin/iw (-rwxr-xr-x root root);1;yes;NA;
/bin/iw1 (-rwxr-xr-x root root);1;no;NA;
/bin/mmd_cmdr (-rwxr-xr-x root root);3;no;NA;
/bin/mmd_cmdw (-rwxr-xr-x root root);4;no;NA;
/bin/ob (-rwxr-xr-x root root);2;no;NA;
/bin/ob1 (-rwxr-xr-x root root);2;no;NA;
/bin/od (-rwxr-xr-x root root);2;yes;NA;
/bin/od1 (-rwxr-xr-x root root);2;no;NA;
/bin/orf (-rwxr-xr-x root root);3;no;NA;
/bin/orf1 (-rwxr-xr-x root root);3;no;NA;
/bin/ow (-rwxr-xr-x root root);2;no;NA;
/bin/ow1 (-rwxr-xr-x root root);2;no;NA;
/bin/phyr (-rwxr-xr-x root root);3;no;NA;
/bin/phyw (-rwxr-xr-x root root);4;no;NA;
/bin/rssi (-rwxr-xr-x root root);1;no;NA;
/bin/rssi1 (-rwxr-xr-x root root);1;no;NA;
/bin/samba.sh (-rwxr-xr-x root root);1;no;NA;
/bin/samba_add_dir.sh (-rwxr-xr-x root root);7;no;NA;
/bin/script_check_l2tp_status.sh (-rwxr-xr-x root root);2;no;NA;
/bin/setmib (-rwxr-xr-x root root);2;no;NA;
/bin/setmib1 (-rwxr-xr-x root root);2;no;NA;
/etc/init.d/rcS (-rwxr-xr-x root root);5;yes;NA;
/sbin/dhcp6c-script (-rwxr-xr-x root root);5;no;NA;
/sbin/fw_upgrade (-rwxr-xr-x root root);1;no;NA;
/sbin/mydlink-watch-dog.sh (-rwxr-xr-x root root);12;no;NA;
/sbin/opt.local (-rwxr-xr-x root root);8;no;NA;
/sbin/mdb_test.sh (-rwxr-xr-x root root);143;no;NA;
