BINARY;VERSION;CVE identifier;CVSS rating;exploit db exploit available;metasploit module;trickest PoC;Routersploit;local exploit;remote exploit;DoS exploit;known exploited vuln;
linux_kernel;2.6.30.9;CVE-2016-5195;NA;NA;NA;NA;NA;NA;NA;NA;0;
linux_kernel;2.6.30.9;CVE-2016-5195;NA;NA;NA;NA;NA;NA;NA;NA;0;
linux_kernel;2.6.30.9;CVE-2022-32250;NA;NA;NA;NA;NA;NA;NA;NA;0;
linux_kernel;2.6.30.9;CVE-2021-27365;NA;NA;NA;NA;NA;NA;NA;NA;0;
linux_kernel;2.6.30.9;CVE-2021-22555;NA;NA;NA;NA;NA;NA;NA;NA;0;
linux_kernel;2.6.30.9;CVE-2017-6074;NA;NA;NA;NA;NA;NA;NA;NA;0;
linux_kernel;2.6.30.9;CVE-2013-0268;NA;NA;NA;NA;NA;NA;NA;NA;0;
linux_kernel;2.6.30.9;CVE-2012-0056,CVE-2010-3849,CVE-2010-3850;NA;NA;NA;NA;NA;NA;NA;NA;0;
linux_kernel;2.6.30.9;CVE-2010-4347;NA;NA;NA;NA;NA;NA;NA;NA;0;
linux_kernel;2.6.30.9;CVE-2010-3904;NA;NA;NA;NA;NA;NA;NA;NA;0;
linux_kernel;2.6.30.9;CVE-2010-3848,CVE-2010-3850,CVE-2010-4073;NA;NA;NA;NA;NA;NA;NA;NA;0;
linux_kernel;2.6.30.9;CVE-2010-3437;NA;NA;NA;NA;NA;NA;NA;NA;0;
linux_kernel;2.6.30.9;CVE-2010-3301;NA;NA;NA;NA;NA;NA;NA;NA;0;
linux_kernel;2.6.30.9;CVE-2010-3081;NA;NA;NA;NA;NA;NA;NA;NA;0;
linux_kernel;2.6.30.9;CVE-2010-2959;NA;NA;NA;NA;NA;NA;NA;NA;0;
linux_kernel;2.6.30.9;CVE-2010-1146;NA;NA;NA;NA;NA;NA;NA;NA;0;
linux_kernel;2.6.30.9;CVE-2009-3547;NA;NA;NA;NA;NA;NA;NA;NA;0;
linux_kernel;2.6.30.9;CVE-2009-3547;NA;NA;NA;NA;NA;NA;NA;NA;0;
linux_kernel;2.6.30.9;CVE-2009-3547;NA;NA;NA;NA;NA;NA;NA;NA;0;
